owner	classification	workflows	boundary	studio_state	proof_slice
rusty-engine	non-studio	downstream Rust SDK facade and feature-complete provider namespace	no Studio API	no alternate Studio transport or product authority	SDK-facade-boundary
state-machine	downstream-only	project-specific state readout where the external adapter exposes it	project-adapter readout only	formatted observation; no generic editor	M11B/M11C
svc-collision	indirect	authoritative picking and spatial validation through engine-spatial	engine-spatial operations only	no collision authority	M11E
svc-mesh	indirect	voxel mesh derivation consumed by shared projection	engine-spatial and render projection output	no mesh cache	M11E
svc-pathfinding	downstream-only	project navigation diagnostics where explicitly exposed	project-adapter or engine-inspector readout	formatted observation	M11B/M11C
svc-rng	non-studio	deterministic downstream generation seed mechanism	no Studio API	seed fields belong to named authoring owners	M11F-classification
svc-spatial	indirect	resident voxel authority beneath edits collision mesh and navigation	engine-spatial and voxel owner operations	no chunk authority	M11E
svc-volume	indirect	bounded voxel storage beneath spatial and conversion owners	voxel and spatial owner operations	no volume authority	M11E
voxel-annotation	direct	layers regions semantic kinds provenance queries edits and export	typed annotation document readout and operation	create export every typed edit family and cell bounds region summary queries implemented	M11E/M11F
voxel-asset	direct	canonical voxel files palettes provenance hashes validation and replacement	canonical bytes; asset readout; typed palette operation	project initialize duplicate inspect palette instances plus trusted host open save-as CAS export and deterministic templates implemented	M11E/M11F
voxel-convert	direct	GLB import plan preview apply install material sampling and model windows	typed bounded conversion operations and receipts	project and host source/license private plans primitive selection affine default material texture policy model windows preview apply discard implemented	M11E/M11F
voxel-object-runtime	indirect	bounded voxel-object admission deterministic meshing explicit-time clip sampling and stable collision policy	typed Rust values projected through render-projection	no Studio playback authority; M12G transient authoring controls remain pending	M12F/M12G
@rusty-engine/render-contracts	direct	strict scene and presentation frame decoding	versioned public package	decoded readout only	M11C/M11D
@rusty-engine/render-projection	direct	fail-atomic retained projection and deterministic inspection	public renderer-neutral package	channel and inspection view	M11D/M11E
@rusty-engine/renderer-three	direct	Three/WebGL realization lights materials grids static and animated GLB resources named playback and picking	public backend package through renderer host	operational with no Three objects outside the viewport library and no Studio-owned scene	M11D/M11E/M11F
@rusty-engine/renderer-host	direct	viewport lifecycle configurable six-axis camera input pan orbit WebAudio overlays inspection and cleanup	public host and editor viewport APIs	operational canvas focus persisted camera preferences grid lifecycle picking plus disposable selection transform brush and conversion presentations	M11C/M11D/M11E/M11F
external-project-adapter	direct	project layout game-specific schemas compatibility project scene asset voxel live readouts animated resources clips and named domain operations	closed versioned project-owned Rust protocol	connection project status private plans trusted-host browser selection and domain panel view models	M11B/M11C/M11F
