item_id	status	successor_location	evidence	rationale
api:engine-rs/crates/tools/asset-import/src/fingerprint.rs:24:fingerprint_hex	adapted	rust/crates/asset-import/src/fingerprint.rs	rust/crates/asset-import/tests/offline_import.rs	Item fingerprint_hex is explicitly adapted. SHA-256 source and artifact provenance replaces the donor short FNV fingerprint.
api:engine-rs/crates/tools/asset-import/src/fingerprint.rs:29:fingerprint_hash	adapted	rust/crates/asset-import/src/fingerprint.rs	rust/crates/asset-import/tests/offline_import.rs	Item fingerprint_hash is explicitly adapted. SHA-256 source and artifact provenance replaces the donor short FNV fingerprint.
test:engine-rs/crates/tools/asset-import/src/fingerprint.rs:is_deterministic_and_well_formed	adapted	rust/crates/asset-import/src/fingerprint.rs	rust/crates/asset-import/tests/offline_import.rs	Item is_deterministic_and_well_formed is explicitly adapted. SHA-256 source and artifact provenance replaces the donor short FNV fingerprint.
test:engine-rs/crates/tools/asset-import/src/fingerprint.rs:parses_as_an_asset_hash	adapted	rust/crates/asset-import/src/fingerprint.rs	rust/crates/asset-import/tests/offline_import.rs	Item parses_as_an_asset_hash is explicitly adapted. SHA-256 source and artifact provenance replaces the donor short FNV fingerprint.
api:engine-rs/crates/tools/asset-import/src/fixtures.rs:7:VALID_TRIANGLE	obsolete	rust/crates/asset-import/tests/offline_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item VALID_TRIANGLE is explicitly obsolete. Asha fixture generation is removed; focused inline donor-regression sources cover the supported boundary.
api:engine-rs/crates/tools/asset-import/src/fixtures.rs:21:VALID_QUAD	obsolete	rust/crates/asset-import/tests/offline_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item VALID_QUAD is explicitly obsolete. Asha fixture generation is removed; focused inline donor-regression sources cover the supported boundary.
api:engine-rs/crates/tools/asset-import/src/fixtures.rs:39:UNSUPPORTED_FEATURE	obsolete	rust/crates/asset-import/tests/offline_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item UNSUPPORTED_FEATURE is explicitly obsolete. Asha fixture generation is removed; focused inline donor-regression sources cover the supported boundary.
api:engine-rs/crates/tools/asset-import/src/fixtures.rs:49:BAD_TOPOLOGY	obsolete	rust/crates/asset-import/tests/offline_import.rs	rust/crates/asset-import/tests/offline_import.rs	Item BAD_TOPOLOGY is explicitly obsolete. Asha fixture generation is removed; focused inline donor-regression sources cover the supported boundary.
api:engine-rs/crates/tools/asset-import/src/import.rs:28:ImportContext	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportContext is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/import.rs:37:with_textures	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item with_textures is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/import.rs:53:ImportedAssets	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportedAssets is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/import.rs:61:ImportOutcome	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item ImportOutcome is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/import.rs:67:has_errors	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item has_errors is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/import.rs:148:import	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item import is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/import.rs:156:import_with_context	adapted	rust/crates/asset-import/src/importer.rs	rust/crates/asset-import/tests/offline_import.rs	Item import_with_context is explicitly adapted. Triangle, stream, index, group, material, texture, collision, scale, and descriptor behavior now produces render-model and asset-catalog values directly.
api:engine-rs/crates/tools/asset-import/src/json.rs:13:Json	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item Json is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:24:parse	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item parse is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:37:get	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item get is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:45:keys	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item keys is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:52:as_str	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item as_str is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:59:as_f64	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item as_f64 is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:66:as_u64	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item as_u64 is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:73:as_array	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item as_array is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:80:is_null	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item is_null is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:247:JsonWriter	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item JsonWriter is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:253:new	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item new is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:258:finish	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item finish is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:273:number	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item number is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:299:begin_object	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item begin_object is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:305:end_object	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item end_object is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:316:field_str	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_str is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:324:field_opt_str	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_opt_str is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:336:number_f32	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item number_f32 is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:345:field_f32	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_f32 is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:356:field_f32_array	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_f32_array is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:365:field_num	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_num is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:373:field_bool	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_bool is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:381:field_num_array	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_num_array is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:390:field_str_array	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item field_str_array is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:400:indent_field_object	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item indent_field_object is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:407:begin_array_field	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item begin_array_field is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:414:array_element_indent	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item array_element_indent is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/json.rs:418:end_array	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item end_array is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
test:engine-rs/crates/tools/asset-import/src/json.rs:round_trips_a_small_object	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item round_trips_a_small_object is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
test:engine-rs/crates/tools/asset-import/src/json.rs:rejects_trailing_input	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item rejects_trailing_input is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
test:engine-rs/crates/tools/asset-import/src/json.rs:writer_is_stable_and_lf_terminated	adapted	rust/crates/asset-import/src/source.rs rust/crates/asset-import/src/artifact.rs rust/crates/asset-import/src/manifest.rs rust/crates/asset-import/src/sidecar.rs	rust/crates/asset-import/tests/offline_import.rs	Item writer_is_stable_and_lf_terminated is explicitly adapted. The custom parser and writer are replaced by strict serde DTOs and canonical owner codecs with trailing-input rejection.
api:engine-rs/crates/tools/asset-import/src/lib.rs:22:artifacts	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item artifacts is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:23:cli	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item cli is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:24:diagnostic	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item diagnostic is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:25:fingerprint	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item fingerprint is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:26:fixtures	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item fixtures is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:27:import	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item import is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:28:json	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item json is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:29:manifest	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item manifest is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:30:sidecar	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item sidecar is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:31:source	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item source is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:45:IMPORTER_VERSION	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item IMPORTER_VERSION is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
api:engine-rs/crates/tools/asset-import/src/lib.rs:49:import_text	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item import_text is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
test:engine-rs/crates/tools/asset-import/src/lib.rs:imports_a_valid_fixture_into_deterministic_assets	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item imports_a_valid_fixture_into_deterministic_assets is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
test:engine-rs/crates/tools/asset-import/src/lib.rs:rejects_an_unsupported_feature_with_a_classified_diagnostic	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item rejects_an_unsupported_feature_with_a_classified_diagnostic is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
test:engine-rs/crates/tools/asset-import/src/lib.rs:rejects_non_triangle_topology	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item rejects_non_triangle_topology is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
test:engine-rs/crates/tools/asset-import/src/lib.rs:provenance_is_static_asset_so_runtime_never_imports_gltf	adapted	rust/crates/asset-import/src/lib.rs	cargo test -p asset-import	Item provenance_is_static_asset_so_runtime_never_imports_gltf is explicitly adapted. The cohesive offline import family is exposed without any runtime import bridge.
