item_id	classification	summary
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:34:ANIMATION_SNAPSHOT_SCHEMA_VERSION	removed-replay-proof	Removed concept: the schema version exists only for the eliminated replay-derived animation authority snapshot format.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:35:AUTHORITY_VERSION	removed-replay-proof	Removed concept: the version string identified the old replay-certified animation authority rather than the successor presentation service.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:240:catalog_hash	removed-replay-proof	Removed concept: canonical catalog certification hashes are not part of narrow animation catalog validation.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:725:AnimationControllerState	mixed-replay-removal	Retained behavior: entity, graph, current state, revision, parameters, motion, transition, and typed local timing fact. Removed concept: graph hash, semantic state hash, and durable gameplay-fact provenance.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:740:AnimationControllerChange	mixed-replay-removal	Retained behavior: explicit prior revision and optional resulting controller state. Removed concept: previous semantic-state certification hash.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:751:AnimationControllerInput	mixed-origin-envelope	Retained behavior: attach, parameter changes, trigger, and deterministic tick inputs. Removed concept: a mandatory gameplay-fact origin embedded in every tick for later replay.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:774:AnimationControllerInputRecord	removed-replay-proof	Removed concept: the input record is solely a durable replay-log entry with a global sequence.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:781:AnimationAuthorityReceipt	mixed-replay-removal	Retained behavior: callers receive the resulting controller change from each explicit operation. Removed concept: replay sequence, semantic state hash, and replay hash receipt fields.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:789:AnimationAuthorityError	mixed-replay-removal	Retained behavior: typed graph, controller, parameter, tick, and corruption failures. Removed concept: snapshot decode, catalog/state/replay mismatch, replay sequence, and origin-proof errors.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:836:AnimationControllerAuthority	mixed-replay-removal	Retained behavior: an explicit deterministic service owns presentation-only controller instances. Removed concept: authority naming plus its retained input log, snapshots, hashes, and replay entrypoint.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:851:catalog_hash	removed-replay-proof	Removed concept: exposing the controller authority's catalog certification hash served replay and snapshot verification only.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:855:records	removed-replay-proof	Removed concept: exposing the retained animation input log served verification replay only.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:952:tick_from_fact	removed-origin-envelope	Removed concept: ticking through a mandatory gameplay-fact origin and validating its causation/correlation fields is intentionally outside the presentation controller.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:1135:encode_snapshot	removed-replay-proof	Removed concept: encoding controller state together with its replay log belongs to the eliminated certification snapshot path.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:1140:snapshot_hash	removed-replay-proof	Removed concept: hashing the replay-derived authority snapshot belongs to certification rather than animation behavior.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:1145:decode_snapshot	removed-replay-proof	Removed concept: restoring and verifying animation state from a replay-derived snapshot is intentionally absent.
api:engine-rs/crates/rules/rule-animation-controller/src/lib.rs:1209:replay	removed-replay-proof	Removed concept: reconstructing animation authority from retained input records is intentionally absent.
api:engine-rs/crates/rules/rule-animation-controller/src/timing.rs:11:AnimationInputOrigin	removed-origin-envelope	Removed concept: mandatory source-fact, authority-tick, causation, and correlation identity served replay proofing rather than local transition timing.
api:engine-rs/crates/rules/rule-animation-controller/src/timing.rs:29:AnimationTransitionTimingFact	mixed-replay-removal	Retained behavior: a typed local fact reports controller tick, transition endpoints, moment, and duration. Removed concept: durable fact identity, gameplay origin, input sequence, resulting revision proof, and fact hash.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:float_bool_trigger_and_linear_blend_are_authoritative	mixed-controller-narrowing	Retained behavior: float, bool, and trigger parameters drive deterministic transition priority, trigger consumption, and linear blend resolution. Removed concept: presenting this disposable controller as gameplay authority with replay-certified state.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:identical_inputs_produce_identical_state_and_replay_hashes	mixed-replay-removal	Retained behavior: identical explicit controller inputs resolve identical ordinary controller state. Removed concept: retained input records, verification replay, semantic state hashes, and snapshot hashes.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:accepted_gameplay_fact_is_retained_in_transition_state_and_verification_replay	mixed-replay-removal	Retained behavior: a deterministic tick emits a typed local transition fact with timing and resolved motion. Removed concept: gameplay-fact provenance retention and verification replay.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:semantic_state_hash_does_not_depend_on_controller_entity_identity	removed-replay-proof	Removed concept: entity-independent semantic state hashes existed to compare replay-certified authority states.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:snapshot_round_trip_preserves_authority_without_pose_data	removed-replay-proof	Removed concept: the test covers only replay-derived authority snapshot encoding and decoding.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:snapshot_decode_rejects_state_that_is_not_derived_from_its_replay_log	removed-replay-proof	Removed concept: the test covers only snapshot-to-replay-log certification and tamper rejection.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:invalid_graphs_fail_at_catalog_load_with_specific_diagnostics	mixed-catalog-narrowing	Retained behavior: missing clips, unreachable states, ambiguous transitions, and parameter type mismatches fail admission with typed diagnostics. Removed concept: tying admission to Asha's global catalog-load authority.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:non_positive_clip_and_blend_speeds_fail_at_catalog_load	mixed-catalog-narrowing	Retained behavior: non-positive clip and blend playback speeds fail narrow animation catalog validation. Removed concept: tying this validation to Asha's global catalog-load authority.
test:engine-rs/crates/rules/rule-animation-controller/tests/authority.rs:catalog_hash_is_canonical_over_authored_collection_order	removed-replay-proof	Removed concept: canonical catalog hashing existed to bind replay snapshots, while ordinary validation and deterministic transition ordering remain separately evidenced.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:31:StateMachineSpec	mixed-state-machine-narrowing	Retained behavior: validated states and allowed transition edges back the animation graph. Removed concept: a separate public gameplay-wide finite-state-machine specification owner.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:38:new	mixed-state-machine-narrowing	Retained behavior: animation graph admission constructs validated state and transition lookup. Removed concept: publicly constructing a second generic machine specification.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:46:allow	mixed-state-machine-narrowing	Retained behavior: authored animation transitions declare allowed directed edges. Removed concept: mutating a separate generic machine specification through a builder API.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:51:contains_state	mixed-state-machine-narrowing	Retained behavior: animation catalog validation and controller resolution reject unknown states. Removed concept: exposing the generic machine's membership query as public gameplay authority.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:55:allows_transition	mixed-state-machine-narrowing	Retained behavior: only validated authored animation transitions can be selected. Removed concept: exposing a generic transition-edge query outside the controller owner.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:59:states	mixed-state-machine-narrowing	Retained behavior: animation states are stored deterministically for validation and lookup. Removed concept: exposing generic ProcessId and ModeId iteration from a second state owner.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:63:transitions	mixed-state-machine-narrowing	Retained behavior: animation transitions are stored deterministically by source and priority. Removed concept: exposing generic ProcessId and ModeId edge iteration from a second state owner.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:70:MachineInstance	mixed-state-machine-narrowing	Retained behavior: each entity has current animation state and a monotonically advancing revision. Removed concept: a public generic ProcessId and ModeId machine-instance representation.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:79:TransitionRequest	removed-state-machine-command	Removed concept: callers no longer command arbitrary expected-to-next generic state transitions; the animation controller selects validated edges from typed inputs.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:88:new	removed-state-machine-command	Removed concept: constructing an arbitrary generic transition command is absent because controller transitions are condition-selected.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:98:expecting_revision	removed-state-machine-command	Removed concept: optimistic revision checks on caller-authored generic transition commands are absent with that command surface.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:106:StateMachineEvent	mixed-state-machine-narrowing	Retained behavior: typed local animation transition facts report state endpoints and revision-related timing. Removed concept: generic machine attach/transition events shared with gameplay process vocabulary.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:123:kind	removed-state-machine-command	Removed concept: stable string event-kind labels for the generic machine event and replay vocabulary are not part of local typed animation facts.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:131:replay_line	removed-replay-proof	Removed concept: formatting machine events as deterministic replay evidence lines is intentionally absent.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:167:TransitionApplied	mixed-state-machine-narrowing	Retained behavior: successful animation operations return changed state and a typed transition fact. Removed concept: the generic transition receipt carrying a replay-shaped StateMachineEvent.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:180:apply_transition_to_instance	mixed-state-machine-narrowing	Retained behavior: transition selection validates state edges and updates state atomically inside the animation controller. Removed concept: a detached public generic transition primitive driven by arbitrary requests.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:252:process_mode_event	removed-state-machine-command	Removed concept: bridging generic machine state into Asha's global DomainEvent ProcessModeSet vocabulary is intentionally absent.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:262:StateMachineError	mixed-state-machine-narrowing	Retained behavior: typed graph, state, controller, parameter, and tick failures remain local to the animation service. Removed concept: entity-registry, generic machine-store, global ErrorCategory, and external transition-command variants.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:304:category	removed-state-machine-command	Removed concept: mapping generic machine failures into Asha's global ErrorCategory vocabulary is intentionally absent.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:318:code	removed-state-machine-command	Removed concept: string error codes for the removed generic state-machine command surface are intentionally absent.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:343:StateMachineStore	mixed-state-machine-narrowing	Retained behavior: the animation service owns deterministic per-entity controller instances and validated graphs. Removed concept: a second generic gameplay state store with its own entity registry and machine catalog.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:350:new	mixed-state-machine-narrowing	Retained behavior: callers construct an explicit animation controller service from a validated catalog. Removed concept: constructing an empty generic state-machine authority store.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:355:register_entity	removed-state-machine-command	Removed concept: presentation code does not maintain a second eligibility registry for entity existence; the downstream entity owner validates that invariant.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:359:define_machine	mixed-state-machine-narrowing	Retained behavior: animation graphs are admitted through narrow catalog validation before service construction. Removed concept: incrementally registering generic gameplay machines in a second state store.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:369:attach	mixed-state-machine-narrowing	Retained behavior: an entity explicitly attaches one validated animation graph and receives its initial state. Removed concept: attaching an arbitrary generic ProcessId machine through a second entity registry.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:407:instance	mixed-state-machine-narrowing	Retained behavior: callers can read an entity's complete typed animation controller state. Removed concept: exposing a parallel generic MachineInstance state owner.
api:engine-rs/crates/rules/rule-state-machine/src/lib.rs:411:apply_transition	mixed-state-machine-narrowing	Retained behavior: controller ticks select validated edges and commit state atomically. Removed concept: callers submitting arbitrary generic transition requests to a second store.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:valid_transition_updates_instance_and_emits_replay_event	mixed-replay-removal	Retained behavior: a valid transition updates current state and revision and emits a typed local transition fact. Removed concept: the replay-line representation asserted by the donor test.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:process_mode_event_bridge_is_explicit	removed-state-machine-command	Removed concept: the test covers only the bridge from generic machine state into Asha's global ProcessModeSet event.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:invalid_transition_is_rejected_without_mutation	mixed-state-machine-narrowing	Retained behavior: invalid animation graphs and failed controller input batches do not partially mutate live controller state. Removed concept: rejecting a caller-authored arbitrary next-state command at runtime.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:stale_current_state_is_rejected	removed-state-machine-command	Removed concept: stale expected-current checks belonged to the removed caller-authored generic transition command.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:stale_revision_is_rejected	removed-state-machine-command	Removed concept: optimistic revision checks belonged to the removed caller-authored generic transition command.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:missing_entity_machine_and_instance_are_classified	mixed-state-machine-narrowing	Retained behavior: unknown graphs and missing controller instances return typed local errors. Removed concept: a second entity-eligibility registry plus global error-category classification.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:invalid_initial_or_next_state_is_rejected	mixed-state-machine-narrowing	Retained behavior: catalog admission rejects missing states and controller attachment rejects unknown graphs. Removed concept: accepting an arbitrary caller-selected next state for runtime validation.
test:engine-rs/crates/rules/rule-state-machine/src/lib.rs:deterministic_iteration_shapes_are_stable	mixed-state-machine-narrowing	Retained behavior: animation graph lookup and transition priority remain deterministic through ordered maps. Removed concept: public iteration over a separate generic state-machine specification.
test:engine-rs/crates/rules/rule-state-machine/tests/detached_transition.rs:detached_transition_preserves_store_authority_checks	mixed-state-machine-narrowing	Retained behavior: animation state transitions preserve validated edges and monotonically advancing revisions. Removed concept: a detached public transition primitive outside the responsible controller service.
test:ts/packages/renderer-host/src/animation-host.test.ts:235:animation_host_isolates_missing_targets_and_clips_with_origin-preserving_diagnostics	mixed-origin-envelope	Retained behavior: missing animation targets and clips fail locally with typed diagnostics. Removed concept: copying authority-origin proof envelopes into those diagnostics.
test:ts/packages/renderer-host/src/animation-host.test.ts:272:missing_animation_host_degrades_after_scene_application_without_authority_callbacks	mixed-runtime-split	Retained behavior: an unavailable animation host degrades locally without presentation-to-gameplay callbacks. Removed concept: applying scene and presentation through one universal runtime frame facade.
test:ts/packages/renderer-host/src/audio-host.test.ts:341:missing_audio_host_degrades_after_scene_application_with_origin_diagnostics	mixed-runtime-split	Retained behavior: an unavailable audio host degrades locally with typed diagnostics. Removed concept: universal scene-plus-presentation application and copied authority-origin diagnostics.
test:ts/packages/renderer-host/src/audio-host.test.ts:412:missing_audio_resources_fail_locally_with_origin-preserving_diagnostics	mixed-origin-envelope	Retained behavior: missing audio resources fail locally with typed resource diagnostics. Removed concept: copying authority-origin proof envelopes into those diagnostics.
api:ts/packages/renderer-host/src/audio-host.ts:424:interface_AshaRuntimeProjectionApplicationPorts	mixed-runtime-split	Retained behavior: named optional presentation hosts are composed explicitly. Removed concept: a port bundle that also owns scene application for a universal runtime projection frame.
api:ts/packages/renderer-host/src/audio-host.ts:433:interface_AshaRuntimeProjectionApplicationReceipt	mixed-runtime-split	Retained behavior: presentation host application returns per-domain typed receipts. Removed concept: one runtime receipt carrying authority tick and scene-applied certification.
api:ts/packages/renderer-host/src/audio-host.ts:443:function_applyAshaRuntimeProjectionFrame	mixed-runtime-split	Retained behavior: ordered presentation operations dispatch to explicit domain hosts with isolated absence. Removed concept: one function validating and applying scene plus presentation as a universal runtime frame.
api:ts/packages/renderer-host/src/audio-host.ts:748:function_validateRuntimeProjectionFrame	mixed-runtime-split	Retained behavior: renderer-neutral scene and presentation decoders validate their own versioned frames and contiguous operations. Removed concept: validation of a universal runtime composite, authority tick, and replay-scope marker.
test:ts/packages/renderer-host/src/billboard-host.test.ts:256:a_missing_billboard_host_is_isolated_after_scene_application	mixed-runtime-split	Retained behavior: an unavailable billboard host degrades locally without disturbing other presentation domains. Removed concept: coupling that isolation proof to prior scene application through a universal runtime facade.
api:ts/packages/renderer-host/src/index.ts:63:reexport_applyAshaRuntimeProjectionFrame	mixed-runtime-split	Retained behavior: the public host package exposes explicit surface and presentation-host composition. Removed concept: re-exporting the universal runtime-frame application facade.
api:ts/packages/renderer-host/src/index.ts:64:reexport_validateRuntimeProjectionFrame	mixed-runtime-split	Retained behavior: public renderer-neutral frame validation remains available from responsible packages. Removed concept: re-exporting universal runtime composite validation.
api:ts/packages/renderer-host/src/index.ts:73:reexport_AshaRuntimeProjectionApplicationPorts	mixed-runtime-split	Retained behavior: callers can provide a named presentation host set. Removed concept: re-exporting a port type that also owns scene application for a universal runtime frame.
api:ts/packages/renderer-host/src/index.ts:74:reexport_AshaRuntimeProjectionApplicationReceipt	mixed-runtime-split	Retained behavior: callers receive typed presentation-domain application receipts. Removed concept: re-exporting a runtime receipt with authority tick and scene-applied certification.
