item_id	kind	donor_path	status	capability	successor_evidence	rationale
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:282:BillboardLayer	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:BillboardLayer is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:290:BillboardDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardDescriptor is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:304:BillboardPatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardPatch is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:318:BillboardProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:BillboardProjectionOp is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:334:BillboardProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:BillboardProjectionDiagnosticCode is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:350:BillboardProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardProjectionDiagnostic is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:360:BillboardProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:BillboardProjectionReadout is explicitly adapted under billboard-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:370:ParticleAnchor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:ParticleAnchor is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:377:ParticleSpriteRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleSpriteRef is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:385:ParticleScalarKey	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleScalarKey is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:392:ParticleColorKey	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleColorKey is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:399:ParticleEmitterDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleEmitterDescriptor is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:418:ParticleEmitterPatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleEmitterPatch is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:436:ParticleProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:ParticleProjectionOp is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:456:ParticleProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:ParticleProjectionDiagnosticCode is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:473:ParticleProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleProjectionDiagnostic is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:483:ParticleProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:ParticleProjectionReadout is explicitly adapted under particle-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:494:TelemetryOverlayCorner	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:TelemetryOverlayCorner is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:503:TelemetryOverlayDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:TelemetryOverlayDescriptor is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:513:TelemetryOverlayPatch	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:TelemetryOverlayPatch is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:523:TelemetryOverlayProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:TelemetryOverlayProjectionOp is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:539:TelemetryOverlayDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api enum:TelemetryOverlayDiagnosticCode is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:550:TelemetryOverlayDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:TelemetryOverlayDiagnostic is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:560:TelemetryOverlayReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Exact donor api struct:TelemetryOverlayReadout is explicitly adapted under telemetry-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:568:AnimationResolvedMotion	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationResolvedMotion is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:577:AnimationTransitionProjection	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationTransitionProjection is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:588:AnimationTransitionFactMoment	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api enum:AnimationTransitionFactMoment is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:597:AnimationTransitionFactRef	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationTransitionFactRef is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:615:AnimationControllerProjectionState	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationControllerProjectionState is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:629:AnimationProjectionDescriptor	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationProjectionDescriptor is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:638:AnimationProjectionOp	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api enum:AnimationProjectionOp is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:654:AnimationProjectionDiagnosticCode	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api enum:AnimationProjectionDiagnosticCode is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:672:AnimationProjectionDiagnostic	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationProjectionDiagnostic is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
api:engine-rs/crates/protocol/protocol-presentation/src/lib.rs:683:AnimationProjectionReadout	api	engine-rs/crates/protocol/protocol-presentation/src/lib.rs	adapted	animation-projection	rust/crates/render-presentation/src/animation/projection.rs rust/crates/render-presentation/tests/animation.rs	Exact donor api struct:AnimationProjectionReadout is explicitly adapted under animation-projection. The linked successor evidence implements or tests the behavior without restoring the donor runtime, replay, or catalog spine.
