donor_path	status	capability	successor_evidence	adaptation
engine-rs/crates/render/render-audio/src/lib.rs	adapted	audio-projection	rust/crates/render-presentation/src/audio.rs rust/crates/render-presentation/tests/domain_projectors.rs	Preserved retained and impulse audio lifecycle diagnostics and reset.
engine-rs/crates/render/render-billboard/Cargo.toml	adapted	billboard-projection	rust/crates/render-presentation/Cargo.toml	Consolidated billboard projection into render-presentation.
engine-rs/crates/render/render-billboard/src/lib.rs	adapted	billboard-projection	rust/crates/render-presentation/src/billboard.rs rust/crates/render-presentation/tests/domain_projectors.rs	Preserved anchors content fonts icons lifecycle diagnostics and reset.
engine-rs/crates/render/render-bridge/Cargo.toml	adapted	retained-projection	rust/crates/render-projection/Cargo.toml	Replaced the general bridge package with explicit read-only projectors.
engine-rs/crates/render/render-bridge/src/json.rs	adapted	json-contract	rust/crates/render-model/tests/full_contract.rs render/packages/render-contracts/src/validation.test.ts	Preserved versioned canonical JSON and strict cross-language decoding.
engine-rs/crates/render/render-bridge/src/lib.rs	adapted	retained-projection	rust/crates/render-projection/src/lib.rs	Split the universal bridge into cohesive explicit projector modules.
engine-rs/crates/render/render-bridge/src/mesh_payload.rs	adapted	mesh-payloads	rust/crates/render-model/src/mesh.rs rust/crates/render-projection/src/voxel.rs	Preserved bounded inline and explicit shared mesh payload conversion without native runtime handles.
engine-rs/crates/render/render-bridge/src/presentation.rs	adapted	presentation-contract	rust/crates/render-presentation/src/projector.rs	Preserved fail-atomic mixed presentation projection without a runtime facade.
engine-rs/crates/render/render-bridge/src/scene_lighting.rs	adapted	lighting	rust/crates/render-projection/src/authored.rs	Preserved scene-like light projection over explicit authored input.
engine-rs/crates/render/render-bridge/src/voxel.rs	adapted	voxel-projection	rust/crates/render-projection/src/voxel.rs	Preserved stable voxel chunk and material projection over canonical successor spatial state.
engine-rs/crates/render/render-bridge/tests/generated_tunnel_projection.rs	equivalent	entity-projection	rust/crates/render-projection/src/entity.rs rust/crates/render-model/tests/full_contract.rs	Replaced the product-specific generated tunnel with direct entity and hierarchy evidence.
engine-rs/crates/render/render-bridge/tests/scene_projection_golden.rs	adapted	authored-projection	rust/crates/render-projection/src/authored.rs fixtures/render/sample-frame-v1.json	Preserved deterministic authored scene projection through a successor fixture.
engine-rs/crates/render/render-bridge/tests/sprite_atlas_golden.rs	adapted	textures-sprites	render/packages/render-projection/src/retained-projection.test.ts render/packages/renderer-three/src/renderer.test.ts	Preserved atlas definition frame UV and sprite lifecycle behavior.
engine-rs/crates/render/render-bridge/tests/stored_scene_lights.rs	adapted	lighting	rust/crates/render-projection/src/authored.rs render/packages/renderer-three/src/renderer.test.ts	Preserved admitted stored-light projection and realization.
engine-rs/crates/render/render-bridge/tests/voxel_chunks_golden.rs	adapted	voxel-projection	rust/crates/render-projection/src/voxel.rs fixtures/render/retained-frame-v1.json	Preserved deterministic chunk lifecycle and geometry projection.
engine-rs/crates/render/render-bridge/tests/voxel_materials_golden.rs	adapted	voxel-projection	rust/crates/render-projection/src/voxel.rs fixtures/render/voxel-materials-v1.json	Preserved voxel material definitions and stable reprojection.
engine-rs/crates/render/render-debug/Cargo.toml	adapted	debug-projection	rust/crates/render-projection/Cargo.toml	Consolidated debug projection into render-projection.
engine-rs/crates/render/render-debug/src/lib.rs	adapted	debug-projection	rust/crates/render-projection/src/debug.rs	Preserved typed primitives labels tags and deterministic overlays.
engine-rs/crates/render/render-particle/Cargo.toml	adapted	particle-projection	rust/crates/render-presentation/Cargo.toml	Consolidated particle projection into render-presentation.
engine-rs/crates/render/render-particle/src/lib.rs	adapted	particle-projection	rust/crates/render-presentation/src/particle.rs rust/crates/render-presentation/tests/domain_projectors.rs	Preserved bounded emitters bursts curves lifecycle diagnostics and reset.
engine-rs/crates/render/render-telemetry-overlay/Cargo.toml	adapted	telemetry-projection	rust/crates/render-presentation/Cargo.toml	Consolidated telemetry overlay projection into render-presentation.
engine-rs/crates/render/render-telemetry-overlay/src/lib.rs	adapted	telemetry-projection	rust/crates/render-presentation/src/telemetry.rs rust/crates/render-presentation/tests/domain_projectors.rs	Preserved descriptors snapshots lifecycle diagnostics and reset.
engine-rs/crates/rules/rule-animation-controller/Cargo.toml	adapted	animation-controller	rust/crates/render-presentation/Cargo.toml	Moved the presentation-only controller into render-presentation.
engine-rs/crates/rules/rule-animation-controller/src/hashing.rs	equivalent	animation-controller	rust/crates/render-presentation/src/animation/model.rs	Replaced certification hashes with validated ordinary typed identities and deterministic ordering.
engine-rs/crates/rules/rule-animation-controller/src/lib.rs	adapted	animation-controller	rust/crates/render-presentation/src/animation/controller.rs	Preserved graph parameters transitions blends and deterministic sampling.
engine-rs/crates/rules/rule-animation-controller/src/timing.rs	adapted	animation-controller	rust/crates/render-presentation/src/animation/controller.rs	Preserved fixed deterministic transition and playback timing.
engine-rs/crates/rules/rule-animation-controller/tests/authority.rs	equivalent	animation-controller	rust/crates/render-presentation/tests/animation.rs	Recast authority tests as proof that the controller owns presentation state only.
engine-rs/crates/rules/rule-state-machine/Cargo.toml	adapted	animation-controller	rust/crates/render-presentation/Cargo.toml	Narrowed the generic rule package to animation-controller state mechanics.
engine-rs/crates/rules/rule-state-machine/src/lib.rs	adapted	animation-controller	rust/crates/render-presentation/src/animation/model.rs rust/crates/render-presentation/src/animation/controller.rs	Preserved the needed states conditions priorities and transitions without a general gameplay rule runtime.
engine-rs/crates/rules/rule-state-machine/tests/detached_transition.rs	adapted	animation-controller	rust/crates/render-presentation/tests/animation.rs	Preserved deterministic detached transition behavior in focused animation tests.
harness/fixtures/mesh-animation/LICENSE.Kenney-Animated-Characters-Retro.txt	adapted	animated-meshes	fixtures/render/assets/kenney-retro-character/LICENSE.txt	Copied the exact CC0 license adjacent to the successor browser fixture.
harness/fixtures/mesh-animation/README.md	adapted	animated-meshes	fixtures/render/assets/kenney-retro-character/README.md	Rewrote fixture provenance for the successor path and manifest.
harness/fixtures/mesh-animation/kenney-retro-character-medium.glb	adapted	animated-meshes	fixtures/render/assets/kenney-retro-character/character-medium.glb	Copied the exact licensed animated GLB bytes.
harness/fixtures/mesh-animation/kenney-retro-character-medium.manifest.json	adapted	animated-meshes	fixtures/render/assets/kenney-retro-character/manifest.json	Adapted the resource manifest to explicit successor asset and clip identity.
harness/fixtures/render-diffs/.gitkeep	equivalent	render-core	fixtures/render/sample-frame-v1.json	Replaced an empty directory marker with checked successor fixtures.
harness/fixtures/render-diffs/README.md	equivalent	render-core	docs/rendering-successor-contract.md	Replaced donor fixture instructions with the complete successor contract and operations guide.
harness/fixtures/render-diffs/animated-mesh.json	adapted	animated-meshes	fixtures/render/sample-frame-v1.json render/browser/renderer.browser.spec.ts	Preserved animated resource instance and playback behavior in the cross-language/browser fixture.
harness/fixtures/render-diffs/bridge-sequence.json	adapted	retained-projection	fixtures/render/renderer-sequence-v1.json	Preserved ordered create update destroy application without a runtime bridge.
harness/fixtures/render-diffs/debug-overlay-primitives.json	adapted	debug-projection	rust/crates/render-projection/src/debug.rs rust/crates/render-model/tests/full_contract.rs	Preserved debug primitive and overlay descriptor coverage.
harness/fixtures/render-diffs/material-feedback.json	adapted	materials	fixtures/render/sample-frame-v1.json render/packages/renderer-three/src/renderer.test.ts	Preserved material definition and instance parameter effects without gameplay feedback authority.
harness/fixtures/render-diffs/sample-frame.json	adapted	render-core	fixtures/render/sample-frame-v1.json	Replaced the donor frame with the versioned successor cross-language frame.
harness/fixtures/render-diffs/scene-projection-sequence.json	adapted	authored-projection	fixtures/render/renderer-sequence-v1.json	Preserved deterministic multi-frame authored projection behavior.
harness/fixtures/render-diffs/scene-projection.json	adapted	authored-projection	fixtures/render/sample-frame-v1.json	Preserved authored object hierarchy material and light projection.
harness/fixtures/render-diffs/scene-showcase.json	adapted	three-core	render/browser/renderer.browser.spec.ts	Consolidated showcase behavior into the exhaustive real-browser scene.
harness/fixtures/render-diffs/sprite-atlas.json	adapted	textures-sprites	render/packages/render-projection/src/retained-projection.test.ts	Preserved texture atlas validation and retained definition behavior.
harness/fixtures/render-diffs/sprite-showcase.json	adapted	textures-sprites	render/browser/renderer.browser.spec.ts	Preserved sprite UV rendering and picking in the real-browser fixture.
harness/fixtures/render-diffs/static-mesh-instances.json	adapted	static-meshes	fixtures/render/sample-frame-v1.json render/packages/renderer-three/src/renderer.test.ts	Preserved shared static asset and instance material behavior.
harness/fixtures/render-diffs/static-room.json	adapted	three-core	fixtures/render/goldens/static-room-v1.snapshot	Preserved the deterministic static-room retained scene.
harness/fixtures/render-diffs/voxel-chunks.json	adapted	voxel-projection	fixtures/render/retained-frame-v1.json	Preserved visible voxel chunk mesh lifecycle.
harness/fixtures/render-diffs/voxel-materials.json	adapted	voxel-projection	fixtures/render/voxel-materials-v1.json	Preserved material-slot voxel mesh projection.
harness/fixtures/render-projection/retained-sequence.json	adapted	retained-projection	fixtures/render/renderer-sequence-v1.json	Preserved deterministic retained sequence application.
harness/fixtures/scenes/lights-v2.json	adapted	lighting	fixtures/render/sample-frame-v1.json render/packages/renderer-three/src/renderer.test.ts	Preserved all supported light families and shadow intent.
harness/goldens/render-diffs/.gitkeep	equivalent	three-core	fixtures/render/goldens/static-room-v1.snapshot	Replaced an empty directory marker with a checked successor golden.
harness/goldens/render-diffs/README.md	equivalent	three-core	docs/rendering-successor-contract.md	Replaced donor golden instructions with successor verification documentation.
harness/goldens/render-diffs/debug-overlay-primitives.snapshot	adapted	debug-projection	rust/crates/render-model/tests/full_contract.rs	Preserved deterministic debug descriptor results in typed Rust assertions.
harness/goldens/render-diffs/generated-tunnel.snapshot	equivalent	entity-projection	rust/crates/render-projection/src/entity.rs rust/crates/render-model/tests/full_contract.rs	Replaced a product-shaped tunnel golden with direct stable entity projection evidence.
harness/goldens/render-diffs/material-feedback.snapshot	adapted	materials	render/packages/renderer-three/src/renderer.test.ts	Preserved material realization and update readout assertions.
harness/goldens/render-diffs/scene-projection.snapshot	adapted	authored-projection	rust/crates/render-projection/src/authored.rs fixtures/render/sample-frame-v1.json	Preserved deterministic authored projection through typed and JSON evidence.
harness/goldens/render-diffs/scene-showcase.snapshot	adapted	three-core	render/browser/renderer.browser.spec.ts	Preserved the showcase's complete visible families in real WebGL acceptance.
harness/goldens/render-diffs/sprite-atlas.snapshot	adapted	textures-sprites	render/packages/render-projection/src/retained-projection.test.ts	Preserved deterministic atlas and UV projection assertions.
harness/goldens/render-diffs/sprite-showcase.snapshot	adapted	textures-sprites	render/packages/renderer-three/src/renderer.test.ts render/browser/renderer.browser.spec.ts	Preserved sprite realization inspection and visible browser behavior.
harness/goldens/render-diffs/static-mesh-instances.snapshot	adapted	static-meshes	render/packages/renderer-three/src/renderer.test.ts	Preserved shared mesh instance resource and material readouts.
harness/goldens/render-diffs/static-room.snapshot	adapted	three-core	fixtures/render/goldens/static-room-v1.snapshot	Ported the canonical deterministic room snapshot.
harness/goldens/render-diffs/voxel-chunks.snapshot	adapted	voxel-projection	fixtures/render/retained-frame-v1.json render/packages/renderer-three/src/renderer.test.ts	Preserved chunk geometry and lifecycle evidence.
harness/goldens/render-projection/retained-sequence.after.json	adapted	retained-projection	fixtures/render/renderer-sequence-v1.json render/packages/render-projection/src/retained-projection.test.ts	Preserved deterministic post-sequence state.
harness/goldens/render-projection/retained-sequence.before.json	adapted	retained-projection	fixtures/render/renderer-sequence-v1.json render/packages/render-projection/src/retained-projection.test.ts	Preserved deterministic pre-sequence state.
ts/packages/render-projection/compatibility.json	equivalent	json-contract	render/packages/render-contracts/src/validation.ts render/scripts/check-boundaries.mjs	Replaced compatibility metadata with strict versioned decoding and package boundary checks.
ts/packages/render-projection/package.json	adapted	retained-projection	render/packages/render-projection/package.json	Ported the package under the shared Rusty Engine scope and exact-Git preparation contract.
ts/packages/render-projection/src/generated-tunnel-frame.ts	equivalent	json-contract	fixtures/render/retained-frame-v1.json	Replaced a generated product tunnel with an explicit versioned cross-language fixture.
ts/packages/render-projection/src/index.test.ts	adapted	retained-projection	render/packages/render-projection/src/retained-projection.test.ts	Preserved retained application validation ordering and failure tests.
ts/packages/render-projection/src/index.ts	adapted	retained-projection	render/packages/render-projection/src/index.ts	Preserved a small renderer-neutral public barrel.
ts/packages/render-projection/src/retained-projection.ts	adapted	retained-projection	render/packages/render-projection/src/retained-projection.ts	Ported complete fail-atomic retained state and resource reference behavior.
ts/packages/render-projection/tsconfig.json	adapted	retained-projection	render/packages/render-projection/tsconfig.json	Moved the package into the isolated strict render workspace.
ts/packages/renderer-host/assets/LICENSE.Kenney-Animated-Characters-Retro.txt	adapted	animated-meshes	fixtures/render/assets/kenney-retro-character/LICENSE.txt	Kept the exact CC0 license adjacent to the shared fixture.
ts/packages/renderer-host/assets/kenney-retro-character-medium.glb	adapted	animated-meshes	fixtures/render/assets/kenney-retro-character/character-medium.glb	Kept the exact animated GLB bytes in one shared fixture location.
ts/packages/renderer-host/compatibility.json	equivalent	browser-surface	render/packages/renderer-host/src/index.test.ts render/scripts/check-boundaries.mjs	Replaced compatibility metadata with a tested cohesive public API and exact package graph.
ts/packages/renderer-host/package.json	adapted	browser-surface	render/packages/renderer-host/package.json	Ported the host package with explicit peer layers and exact-Git preparation.
ts/packages/renderer-host/src/animated-mesh-host.ts	adapted	animated-meshes	render/packages/renderer-host/src/animated-mesh-host.ts	Ported explicit hashed GLB resource admission and projection.
ts/packages/renderer-host/src/animation-host.test.ts	adapted	animation-host	render/packages/renderer-host/src/animation-host.test.ts	Ported sampled playback cue error and cleanup coverage.
ts/packages/renderer-host/src/animation-host.ts	adapted	animation-host	render/packages/renderer-host/src/animation-host.ts	Ported presentation-only animation sampling and playback hosting.
ts/packages/renderer-host/src/audio-host.test.ts	adapted	audio-host	render/packages/renderer-host/src/audio-host.test.ts	Ported WebAudio resume decode failure bus spatial and cleanup coverage.
ts/packages/renderer-host/src/audio-host.ts	adapted	audio-host	render/packages/renderer-host/src/audio-host.ts	Ported explicit resource-resolved WebAudio lifecycle without runtime callbacks.
ts/packages/renderer-host/src/billboard-host.test.ts	adapted	billboard-host	render/packages/renderer-host/src/billboard-host.test.ts	Ported DOM anchor localization resource lifecycle and failure coverage.
ts/packages/renderer-host/src/billboard-host.ts	adapted	billboard-host	render/packages/renderer-host/src/billboard-host.ts	Ported explicit world projection and retained billboard ownership.
ts/packages/renderer-host/src/camera-transition.test.ts	adapted	inspection-camera	render/packages/renderer-host/src/camera-transition.test.ts	Ported bounded deterministic camera interpolation tests.
ts/packages/renderer-host/src/camera-transition.ts	adapted	inspection-camera	render/packages/renderer-host/src/camera-transition.ts	Ported renderer-only camera transition sampling.
ts/packages/renderer-host/src/editor-viewport.test.ts	adapted	editor-viewport	render/packages/renderer-host/src/editor-viewport.test.ts	Ported channel policy camera grid pick readout and cleanup tests.
ts/packages/renderer-host/src/editor-viewport.ts	adapted	editor-viewport	render/packages/renderer-host/src/editor-viewport.ts	Ported explicit authored runtime and overlay viewport channels.
ts/packages/renderer-host/src/index.test.ts	adapted	browser-surface	render/packages/renderer-host/src/index.test.ts	Preserved the tested small host public surface while removing the universal facade.
ts/packages/renderer-host/src/index.ts	adapted	browser-surface	render/packages/renderer-host/src/index.ts	Exports cohesive surface editor inspection and named presentation hosts only.
ts/packages/renderer-host/src/inspection-surface.test.ts	adapted	inspection-camera	render/packages/renderer-host/src/inspection-surface.test.ts	Ported inspection state camera grid readout and disposal coverage.
ts/packages/renderer-host/src/inspection-surface.ts	adapted	inspection-camera	render/packages/renderer-host/src/inspection-surface.ts	Ported explicit non-authoritative inspection composition.
ts/packages/renderer-host/src/particle-host.test.ts	adapted	particle-host	render/packages/renderer-host/src/particle-host.test.ts	Ported deterministic seeds bounds resources lifecycle and cleanup tests.
ts/packages/renderer-host/src/particle-host.ts	adapted	particle-host	render/packages/renderer-host/src/particle-host.ts	Ported bounded particle simulation behind an explicit sink.
ts/packages/renderer-host/src/resource-content-hash.ts	adapted	three-resources	render/packages/renderer-host/src/resource-content-hash.ts	Preserved resource byte hash validation without catalog authority.
ts/packages/renderer-host/src/stored-editor-camera.test.ts	adapted	inspection-camera	render/packages/renderer-host/src/stored-editor-camera.test.ts	Ported bounded stored camera resolution diagnostics.
ts/packages/renderer-host/src/stored-editor-camera.ts	adapted	inspection-camera	render/packages/renderer-host/src/stored-editor-camera.ts	Ported caller-owned editor camera state resolution.
ts/packages/renderer-host/src/surface.ts	adapted	browser-surface	render/packages/renderer-host/src/surface.ts render/browser/renderer.browser.spec.ts	Ported shared retained surface camera input projection presentation attachment and cleanup.
ts/packages/renderer-host/src/telemetry-host.test.ts	adapted	telemetry-host	render/packages/renderer-host/src/telemetry-host.test.ts	Ported metric cadence validation lifecycle and DOM cleanup tests.
ts/packages/renderer-host/src/telemetry-host.ts	adapted	telemetry-host	render/packages/renderer-host/src/telemetry-host.ts	Ported explicit telemetry collection and overlay hosting.
ts/packages/renderer-host/tsconfig.json	adapted	browser-surface	render/packages/renderer-host/tsconfig.json	Moved the host into the isolated strict render workspace.
ts/packages/renderer-three/package.json	adapted	three-core	render/packages/renderer-three/package.json	Ported the Three backend with explicit peer layers and exact-Git preparation.
ts/packages/renderer-three/src/animated-mesh.ts	adapted	three-resources	render/packages/renderer-three/src/animated-mesh.ts	Ported GLB group primitive clip clone and disposal ownership.
ts/packages/renderer-three/src/backend.ts	adapted	three-core	render/packages/renderer-three/src/backend.ts	Preserved the renderer backend interface used by retained projection.
ts/packages/renderer-three/src/browser-surface-pick.test.ts	adapted	picking	render/packages/renderer-three/src/browser-surface-pick.test.ts	Ported mesh sprite filter provenance and diagnostic pick tests.
ts/packages/renderer-three/src/browser-surface.ts	adapted	browser-surface	render/packages/renderer-three/src/browser-surface.ts	Ported WebGL mount resize camera world projection render loop picking and cleanup.
ts/packages/renderer-three/src/editor-grid.test.ts	adapted	editor-grid	render/packages/renderer-three/src/editor-grid.test.ts	Ported grid validation labels orientation and disposal tests.
ts/packages/renderer-three/src/editor-grid.ts	adapted	editor-grid	render/packages/renderer-three/src/editor-grid.ts	Ported renderer-neutral grid realization and lifecycle.
ts/packages/renderer-three/src/editor-viewport-backend.test.ts	adapted	editor-viewport	render/packages/renderer-three/src/editor-viewport-backend.test.ts	Ported channel retention visibility selection and cleanup coverage.
ts/packages/renderer-three/src/editor-viewport-backend.ts	adapted	editor-viewport	render/packages/renderer-three/src/editor-viewport-backend.ts	Ported explicit authored runtime overlay projection channels.
ts/packages/renderer-three/src/editor-viewport-render-pass.test.ts	adapted	editor-viewport	render/packages/renderer-three/src/editor-viewport-render-pass.test.ts	Ported depth clear ordering and overlay pass tests.
ts/packages/renderer-three/src/editor-viewport-render-pass.ts	adapted	editor-viewport	render/packages/renderer-three/src/editor-viewport-render-pass.ts	Ported deterministic viewport pass composition.
ts/packages/renderer-three/src/golden.test.ts	adapted	three-core	fixtures/render/goldens/static-room-v1.snapshot render/packages/renderer-three/src/renderer.test.ts	Consolidated donor goldens into the successor static-room golden and exhaustive renderer assertions.
ts/packages/renderer-three/src/index.ts	adapted	three-core	render/packages/renderer-three/src/index.ts	Preserved a cohesive Three backend public barrel.
ts/packages/renderer-three/src/lighting.ts	adapted	lighting	render/packages/renderer-three/src/lighting.ts render/packages/renderer-three/src/renderer.test.ts	Ported all light realization updates disposal and shadow degradation.
ts/packages/renderer-three/src/mesh-presentation.ts	adapted	materials	render/packages/renderer-three/src/mesh-presentation.ts	Ported geometry material texture and fallback realization helpers.
ts/packages/renderer-three/src/renderer.test.ts	adapted	three-core	render/packages/renderer-three/src/renderer.test.ts	Ported and expanded retained hierarchy resources updates errors and disposal tests.
ts/packages/renderer-three/src/static-room.test.ts	adapted	three-core	render/packages/renderer-three/src/static-room.test.ts	Ported deterministic static-room contract and snapshot coverage.
ts/packages/renderer-three/src/static-room.ts	adapted	three-core	render/packages/renderer-three/src/static-room.ts	Ported the repository-local static retained fixture.
ts/packages/renderer-three/src/three-renderer.ts	adapted	three-core	render/packages/renderer-three/src/three-renderer.ts	Ported complete retained Three object and resource ownership without runtime attachment.
ts/packages/renderer-three/src/tunnel-viewport.test.ts	equivalent	editor-viewport	render/packages/renderer-host/src/editor-viewport.test.ts render/browser/renderer.browser.spec.ts	Replaced a tunnel-specific viewport with generic channels picking camera and real-browser evidence.
ts/packages/renderer-three/tsconfig.json	adapted	three-core	render/packages/renderer-three/tsconfig.json	Moved the backend into the isolated strict render workspace.
